,timestamp,open,high,low,close,volume,bb_upper,bb_middle,bb_lowerband,macd,macd_signal,macdhist,macd_useful,rsi,stochastic_k,stochastic_d,useful_stochastic,returns
4110,2005-03-30,411.1579,414.5218,403.1216,405.925,11776334,427.0601004760853,414.48456,401.90901952391465,0.44104308057319486,3.649035988715732,-3.207992908142537,0.12086564285391406,42.93441172026461,39.05645892487984,51.159611775048944,0.7634236767982682,-0.02449344090657135
4109,2005-03-31,407.4201,413.5874,406.5977,408.1302,7709281,427.01157103891165,413.4080599999999,399.8045489610882,-0.3468115575405477,2.849866479464476,-3.196678037005024,-0.12169396708217634,44.42458126101999,18.980599409351324,37.7404965619777,0.5029239447918036,0.012730251277655924
4108,2005-04-01,407.4201,423.8663,407.4201,421.9228,8206766,428.84720389883296,414.0509599999999,399.2547161011669,0.14014006852465855,2.307921197276513,-2.1677811287518542,0.060721340351669,52.737620126014036,34.34643787281603,30.794498735682367,1.1153433010103828,-0.02232493716860051
4107,2005-04-04,422.3712,425.0626,417.7363,422.1471,4431702,427.59955191071833,413.6995999999999,399.7996480892815,0.5379507149458505,1.9539271008103802,-1.4159763858645298,0.2753176997866187,52.861107982801336,59.243866266663325,37.523634516276864,1.5788413630605196,-0.029927719508199946
4106,2005-04-05,421.6238,425.212,413.5874,415.3815,6684122,428.2144386283043,414.70131999999995,401.1882013716956,0.3037892474416708,1.6238995301366383,-1.3201102826949676,0.18707391793882058,48.725611180245444,71.27946169635584,54.95658861194503,1.2970139431264291,0.005129501434223638
4105,2005-04-06,415.8302,427.9405,415.8302,426.7071,10569458,431.78805456422924,418.8577399999999,405.9274254357706,1.0203340891698645,1.5031864419432837,-0.4828523527734192,0.6787807957147357,55.063316331895365,78.42202785864602,69.64845194055503,1.1259694318199525,-0.020672728435969345
4104,2005-04-07,426.8567,431.342,421.2498,422.7076,6241259,429.05236735822757,421.7732199999999,414.4940726417723,1.2510534484820255,1.452759843251032,-0.20170639476900654,0.8611564081248133,52.59117346634814,71.20854922261238,73.63667959253804,0.9670255315236712,0.00229946185022456
4103,2005-04-08,420.1287,423.7916,413.4754,416.5029,6649673,429.08501600235576,420.68924,412.2934639976442,0.922597636564376,1.3467274019137008,-0.4241297653493248,0.6850663580865467,48.92163115289658,58.35730162873631,69.32929290333153,0.8417409032298384,0.02198712181835938
4102,2005-04-11,416.5029,416.5029,408.2424,409.0648,3831270,430.3001019709977,418.07277999999997,405.84545802900226,0.06139382225217105,1.0896606859813949,-1.0282668637292238,0.0563421467269668,44.87896584488117,28.137045921692064,52.56763225768022,0.5352541994618978,0.04961585548304326
4101,2005-04-12,409.6628,412.653,407.4201,410.0739,6157623,430.80949823224,417.01125999999994,403.21302176775987,-0.5335401498984993,0.765020518805416,-1.2985606687039153,-0.6974193982817942,45.53651640439105,10.532953716084043,32.34243375550411,0.32566979330340345,0.04812693516949018
4100,2005-04-13,411.1579,413.3258,405.9997,407.7565,3961264,424.45699134013853,413.22113999999993,401.98528865986134,-1.178440097880923,0.37632839546814817,-1.5547684933490713,-3.1314142437084964,44.231561377386875,7.195372804231053,15.288457480669024,0.4706408617958352,0.08314251274964346
4099,2005-04-15,407.4201,407.4201,393.2164,395.9825,7280572,421.20689749834594,407.87611999999996,394.545342501654,-2.6095105403414323,-0.22083939169376793,-2.3886711486476644,11.816327333304606,38.23616644036881,9.024252731534746,8.91752641728325,1.0119681522944128,0.13432083488537994
